#,Lecture name,Word/ Expression,Phonetic,Korean,Vietnamese
4,Workplace Sentences 2,We need to come up with a really good advertising campaign. Let’s try to think outside the box.,wiː niːd tuː kʌm ʌp wɪð ə ˈrɪəli ɡʊd ˈædvətaɪzɪŋ kæmˈpeɪn. lɛts traɪ tuː θɪŋk ˌaʊtˈsaɪd ðə bɒks.,우리는 정말 좋은 광고 캠페인을 만들어야 합니다. 틀을 벗어나서 생각해봅시다.,Chúng ta cần phải nghĩ ra một chiến dịch quảng cáo tốt. Hãy đột phá tư duy nào.
5,Workplace Sentences 2,Win-Win Situation,wɪn-wɪn ˌsɪʧuˈeɪʃᵊn,윈윈하는 상황/ 서로 서로 이득을 보는 것,Đôi bên cùng có lợi
6,Workplace Sentences 2,This partnership will bring increased publicity to their company and new customers to ours. It’s a win-win situation.,ðɪs ˈpɑːtnəʃɪp wɪl brɪŋ ɪnˈkriːst pʌˈblɪsəti tuː ðeə ˈkʌmpəni ænd njuː ˈkʌstəməz tuː ˈaʊəz. ɪts ə wɪn-wɪn ˌsɪʧuˈeɪʃᵊn.,이 파트너십은 그들의 회사와 새로운 고객들에게 홍보를 증가시킬 것입니다. 그것은 윈-윈(win-win) 상황입니다.,Sự hợp tác này sẽ gia tăng sự phổ biến cho họ và khách hàng mới cho chúng ta. Đôi bên cùng có lợi.
7,Workplace Sentences 2,Test The Waters,tɛst ðə ˈwɔːtəz,(행동을 하거나 결정을 내리기 전에) 미리 상황을 살피다[조심스럽게 알아보다],Thử nghiệm
8,Workplace Sentences 2,We’re testing the waters to see if changing the product’s packaging will increase sales.,wɪə ˈtɛstɪŋ ðə ˈwɔːtəz tuː siː ɪf ˈʧeɪnʤɪŋ ðə ˈprɒdʌkts ˈpækɪʤɪŋ wɪl ɪnˈkriːs seɪlz.,이 파트너십은 그들의 회사와 새로운 고객들에게 홍보를 증가시킬 것입니다. 그것은 윈-윈(win-win) 상황입니다.,Chúng ta thử nghiệm trước để xem sự thay đổi bao bì có tăng số không.
9,Workplace Sentences 2,Bang For The Buck,bæŋ fɔː ðə bʌk,본전을 뽑다 / 가성비 좋다,Món hời
10,Workplace Sentences 2,I think we should use online ads instead of TV commercials. They give more bang for the buck.,aɪ θɪŋk wiː ʃʊd juːz ˈɒnˌlaɪn ædz ɪnˈstɛd ɒv ˌtiːˈviː kəˈmɜːʃᵊlz. ðeɪ ɡɪv mɔː bæŋ fɔː ðə bʌk.,티브이 광고 말고 온라인 광고를 써야 할 것 같아요. 그게 가성비가 더 좋아요.,Tôi nghĩ chúng ta nên dùng quảng cáo trên mạng thay vì TV. Chúng mang lại nhiều lợi ích hơn.
1,Workplace Sentences 3,Learning Curve,ˈlɜːnɪŋ kɜːv,"배우는 과정, 시행착오, 학습곡선",Đường cong học tập
2,Workplace Sentences 3,Our database system has an easy learning curve – you’ll be able to use it perfectly within a day.,ˈaʊə ˈdeɪtəˌbeɪs ˈsɪstəm hæz ən ˈiːzi ˈlɜːnɪŋ kɜːv – juːl biː ˈeɪbᵊl tuː juːz ɪt ˈpɜːfɪktli wɪˈðɪn ə deɪ.,우리의 데이터베이스 시스템은 쉬운 학습 곡선을 가지고 있습니다. 하루 안에 완벽하게 사용할 수 있습니다.,Hệ thống dữ liệu của chúng ta có đường cong học tập dễ dàng - bạn có thể dùng tốt nó trong vòng một ngày.
3,Workplace Sentences 3,Off The Top Of One’s Head,ɒf ðə tɒp ɒv wʌnz hɛd,"즉흥적으로, 생각나는 대로","Nghĩ gì nói đó, chưa chuẩn bị"
4,Workplace Sentences 3,"I don’t know the exact number off the top of my head, but I’d estimate that we spent about $400,000 on training for employees last year.","aɪ dəʊnt nəʊ ði ɪɡˈzækt ˈnʌmbər ɒf ðə tɒp ɒv maɪ hɛd, bʌt aɪd ˈɛstɪmeɪt ðæt wiː spɛnt əˈbaʊt $400,000 ɒn ˈtreɪnɪŋ fɔːr ˌɛmplɔɪˈiːz lɑːst jɪə.","생각나는 대로 정확한 숫자는 알 수 없지만, 작년에 직원 교육에 약 40만 달러를 지출했을 것으로 추정됩니다.",Tôi không biết con số chính xác lúc này  nhưng ước tính chúng ta đã tiêu 400000 đô la để huấn luyện nhân viên mới năm trước.
5,Workplace Sentences 3,On The Back Burner,ɒn ðə bæk ˈbɜːnə,"보류하다, 뒤로 미루다",Một việc bị gác lại (vì không quan trọng)
6,Workplace Sentences 3,The preliminary market analysis is on the back burner; I have some other projects that are taking priority.,ðə prɪˈlɪmɪnᵊri ˈmɑːkɪt əˈnæləsɪs ɪz ɒn ðə bæk ˈbɜːnə; aɪ hæv sʌm ˈʌðə ˈprɒʤɛkts ðæt ɑː ˈteɪkɪŋ praɪˈɒrəti.,예비 시장 분석은 뒷전입니다. 저는 우선순위에 있는 몇 가지 다른 프로젝트가 있습니다.,"Tạm gác lại việc phân tích thị trường sơ bộ, tôi có những dự án khác cần ưu tiên."
7,Workplace Sentences 3,In The Red / In The Black,ɪn ðə rɛd / ɪn ðə blæk,"적자인, 적자로 / 흑자인, 흑자로",Thua lỗ/Lợi nhuận
8,Workplace Sentences 3,"Our company ended the year in the red with a debt of $5,000,000.","ˈaʊə ˈkʌmpəni ˈɛndɪd ðə jɪər ɪn ðə rɛd wɪð ə dɛt ɒv $5,000,000.","저희 회사는 5,000,000달러의 빚을 지고 적자로 한 해를 마감했습니다.",Công ty chúng ta kết thúc năm thua lỗ với món nợ 5 000 000 đô la.
9,Workplace Sentences 3,Ramp Up,ræmp ʌp,"강화시키다, 증가시키다",Đẩy mạnh sản lượng
10,Workplace Sentences 3,We need to ramp up our efforts to find new customers.,wiː niːd tuː ræmp ʌp ˈaʊər ˈɛfəts tuː faɪnd njuː ˈkʌstəməz.,새로운 고객을 찾기 위한 노력을 강화해야 합니다.,Chúng ta cần nỗ lực đẩy mạnh tìm kiếm khách hàng mới.
1,Workplace Sentences 4,To axe someone,tuː æks ˈsʌmwʌn,고용을 종료하다; 사무실 또는 직위에서 퇴직하다,Sa thải ai đó
2,Workplace Sentences 4,Jane got axed because she was constantly stealing from the shop.,ʤeɪn ɡɒt ækst bɪˈkɒz ʃiː wɒz ˈkɒnstəntli ˈstiːlɪŋ frɒm ðə ʃɒp.,제인은 가게에서 계속 도둑질을 해서 쫒겨났다.,Jane bị sa thải vì cố ấy liên tục ăn cắp từ cửa hàng.
3,Workplace Sentences 4,Back to the drawing board,bæk tuː ðə ˈdrɔːɪŋ bɔːd,다시 시작하다,Bắt đầu lại từ đầu
4,Workplace Sentences 4,I’ve got to go back to the drawing board. My paper was not approved.,aɪv ɡɒt tuː ɡəʊ bæk tuː ðə ˈdrɔːɪŋ bɔːd. maɪ ˈpeɪpə wɒz nɒt əˈpruːvd.,다시 시작해 봐야겠습니다. 제 서류가 승인이 안 됐어요.,Tôi phải làm lại từ đầu. Bài viết của tôi không được chấp nhận.
5,Workplace Sentences 4,Back to the salt mines,bæk tuː ðə sɒlt maɪnz,일하러 돌아가다,Quay trở về công việc sau thời gian nghỉ ngơi
6,Workplace Sentences 4,"It was nice to see you, but now I’ve got to get back to the salt mines. The customers won’t wait.","ɪt wɒz naɪs tuː siː juː, bʌt naʊ aɪv ɡɒt tuː ɡɛt bæk tuː ðə sɒlt maɪnz. ðə ˈkʌstəməz wəʊnt weɪt.",반가웠지만 이제 일하러 돌아가야 합니다. 손님들이 안 기다리실 거예요.,Rất vui được gặp bạn nhưng tôi phải trở lại công việc. Khách hàng sẽ không chờ đợi.
7,Workplace Sentences 4,White collar worker,waɪt ˈkɒlə ˈwɜːkə,사무직 직원들,Nhân viên văn phòng
8,Workplace Sentences 4,This place is full of white collar workers.,ðɪs pleɪs ɪz fʊl ɒv waɪt ˈkɒlə ˈwɜːkəz.,이곳은 사무직 노동자들로 가득합니다.,Nơi này toàn là nhân viên văn phòng.
9,Workplace Sentences 4,Deadwood,ˈdɛdwʊd,"쓸모없는 것(사람), 무용지물","Vô dụng, không hiệu quả"
10,Workplace Sentences 4,I believe that John is a complete deadwood to the company. He should be axed.,aɪ bɪˈliːv ðæt ʤɒn ɪz ə kəmˈpliːt ˈdɛdwʊd tuː ðə ˈkʌmpəni. hiː ʃʊd biː ækst.,저는 존이 회사에 완전히 쓸모없는 사람이라고 생각해요. 그는 해고되어야 해요.,Tôi tin rằng John hoàn toàn vô dụng đối với công ty. Anh ta nên bị sa thải.
1,Workplace Sentences 5,Bust one’s buns,bʌst wʌnz bʌnz,일을 아주 열심히 하다,Làm việc rất chăm chỉ
2,Workplace Sentences 5,I have busted my buns for an entire week on this project.,aɪ hæv ˈbʌstɪd maɪ bʌnz fɔːr ən ɪnˈtaɪə wiːk ɒn ðɪs ˈprɒʤɛkt.,저는 이 프로젝트에서 일주일 내내 열심히 일을 하였습니다.,Tôi đã làm việc rất chăm chỉ cả tuần cho dự án này.
3,Workplace Sentences 5,Bumped up,bʌmpt ʌp,"(어떤 것 또는 어떤 사람을) 더 높은 단계, 지위, 계급 등으로 옮기다.",Tăng lương hoặc thăng chức
4,Workplace Sentences 5,I got bumped up to vice president.,aɪ ɡɒt bʌmpt ʌp tuː vaɪs ˈprɛzɪdᵊnt.,저는 부사장님으로 승진했습니다.,Tôi được thăng chức thành phó chủ tịch.
5,Workplace Sentences 5,Carve out a niche,kɑːv aʊt ə niːʃ,분야를 개척하다.,Tập trung phát triển một mảng
6,Workplace Sentences 5,I have carved out a niche for myself in this project.,aɪ hæv kɑːvd aʊt ə niːʃ fɔː maɪˈsɛlf ɪn ðɪs ˈprɒʤɛkt.,저는 이 프로젝트에서 제 자신을 위한 틈새 시장을 만들었습니다.,Tôi tự tập trung phát triển lĩnh vực này cho dự án.
7,Workplace Sentences 5,Desk jockey,dɛsk ˈʤɒki,사무직원,Người làm bàn giấy văn phòng
8,Workplace Sentences 5,I am tired of being a desk jockey. I think I need to find a new job.,aɪ æm taɪəd ɒv ˈbiːɪŋ ə dɛsk ˈʤɒki. aɪ θɪŋk aɪ niːd tuː faɪnd ə njuː ʤɒb.,저는사무직원이 되는 것에 지쳤습니다. 저는 새로운 직업을 찾아야 할 것 같습니다.,Tôi mệt mỏi vì phải làm việc giấy tờ văn phòng. Tôi nghĩ mình phải tìm công việc mới.
9,Workplace Sentences 5,Dog eat dog world,dɒɡ iːt dɒɡ wɜːld,경쟁이 치열한 세상,"Chó cắn chó (tranh giành, lừa gạt nhau để sống)"
10,Workplace Sentences 5,I have been in this business for twenty years. It's dog-eat-dog. The competition is always trying to steal your customers.,aɪ hæv biːn ɪn ðɪs ˈbɪznɪs fɔː ˈtwɛnti jɪəz. ɪts dɒɡ-iːt-dɒɡ. ðə ˌkɒmpəˈtɪʃᵊn ɪz ˈɔːlweɪz ˈtraɪɪŋ tuː stiːl jɔː ˈkʌstəməz.,저는 20년 동안 이 사업을 해왔어요. 그건 경쟁이 매우 치열해요. 경쟁사들은 항상 당신의 고객을 훔치려고 해요.,Tôi đã làm trong ngành này 20 năm. Đó là một một cuộc cạnh tranh khốc liệt. Đây là cuộc thi về giành giật khách hàng của nhau.
